Date,Time,Site,Location,Client Location ID,Device,Country,Region,Segment,Cost,Currency,Weight,Unit,Portions,Quantity,Duration,Food Item,Food Item Category,Loss Reason,Source,Disposition,Container,Stage of Processing,Operator,Event Order No.,Edited
2024-11-14,11:54:06,University of California - Berkeley,The Eateries,,The Eateries - T41444,US,NORAM,College/University,2.22,USD,14.63,lb,,1.0,63851,Vegetables,Fruit-Vegetable,Trimmings & By-Products,Kitchen,Compost,Cambro 22 Qt,Pre-Consumer,LFSW,,0,
2024-11-14,10:34:14,University of California - Berkeley,Foothill,,Foothill - LC0512,US,NORAM,College/University,10.97,USD,4.40,lb,,1.0,70,Hot Cereal,Bread-Cereal,Presented - Not Sold,Breakfast,Compost,Half Hotel Pan (4-inch) Metal,Pre-Consumer,Unknown Operator,,0,
2024-11-14,10:31:26,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,2.60,USD,1.14,lb,,1.0,19,Dessert,Desserts,Presented - Not Sold,Center Plate,Compost,Shotgun Pan (2.5-inch) Metal,Pre-Consumer,Student,,0,
2024-11-14,10:31:02,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,0.36,USD,0.08,lb,,1.0,17,Alternative Meat,Meat-Protein,Presented - Not Sold,Big C Vegan,Compost,Shotgun Pan (2.5-inch) Metal,Pre-Consumer,Student,,0,
2024-11-14,10:30:30,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,2.43,USD,0.54,lb,,1.0,19,Alternative Meat,Meat-Protein,Presented - Not Sold,Big C Vegan,Compost,Shotgun Pan (2.5-inch) Metal,Pre-Consumer,Student,,0,
2024-11-14,10:30:01,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,1.68,USD,3.30,lb,,1.0,18,Potatoes,Starch,Presented - Not Sold,Center Plate,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,Student,,0,
2024-11-14,10:29:22,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,4.47,USD,4.70,lb,,1.0,16,Rice,Starch,Presented - Not Sold,Big C Vegan,Compost,Shotgun Pan (4-inch) Metal,Pre-Consumer,Student,,0,
2024-11-14,10:28:34,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,0.93,USD,0.98,lb,,1.0,18,Rice,Starch,Presented - Not Sold,Center Plate,Compost,Shotgun Pan (4-inch) Metal,Pre-Consumer,Student,,0,
2024-11-14,10:28:08,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,2.30,USD,1.23,lb,,1.0,41,Eggs,Dairy & Eggs,Presented - Not Sold,Center Plate,Compost,Shotgun Pan (4-inch) Metal,Pre-Consumer,Student,,0,
2024-11-14,10:27:17,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,0.71,USD,0.93,lb,,1.0,21,Vegetables,Fruit-Vegetable,Presented - Not Sold,Center Plate,Compost,Shotgun Pan (4-inch) Metal,Pre-Consumer,Student,,0,
2024-11-14,10:24:09,University of California - Berkeley,CKC,,CKC - T41372,US,NORAM,College/University,13.25,USD,5.30,lb,,1.0,30,Mixed Plate-Other,Mixed Foods,Presented - Not Sold,Breakfast,Donation,Quarter Hotel (2.5-inch) Metal,Pre-Consumer,Bettye,,0,
2024-11-14,10:23:32,University of California - Berkeley,CKC,,CKC - T41372,US,NORAM,College/University,21.30,USD,11.41,lb,,1.0,17,Eggs,Dairy & Eggs,Presented - Not Sold,Breakfast,Donation,Full Hotel Pan (1-inch) Metal,Pre-Consumer,Bettye,,0,
2024-11-14,10:23:05,University of California - Berkeley,CKC,,CKC - T41372,US,NORAM,College/University,19.81,USD,10.61,lb,,1.0,31,Eggs,Dairy & Eggs,Presented - Not Sold,Breakfast,Donation,Full Hotel Pan (1-inch) Metal,Pre-Consumer,Bettye,,0,
2024-11-14,10:19:22,University of California - Berkeley,Foothill,,Foothill - LC0512,US,NORAM,College/University,3.35,USD,3.53,lb,,1.0,46,Rice,Starch,Presented - Not Sold,Breakfast,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,Unknown Operator,,0,
2024-11-14,10:16:53,University of California - Berkeley,Foothill,,Foothill - LC0512,US,NORAM,College/University,3.51,USD,1.88,lb,,1.0,33,Eggs,Dairy & Eggs,Presented - Not Sold,Breakfast,Compost,Half Hotel Pan (4-inch) Metal,Pre-Consumer,Unknown Operator,,0,
2024-11-14,10:15:10,University of California - Berkeley,Foothill,,Foothill - LC0512,US,NORAM,College/University,0.43,USD,0.56,lb,,1.0,12,Vegetables,Fruit-Vegetable,Presented - Not Sold,Breakfast,Compost,Shotgun Pan (4-inch) Metal,Pre-Consumer,Unknown Operator,,0,
2024-11-14,10:14:28,University of California - Berkeley,CKC,,CKC - T41372,US,NORAM,College/University,19.23,USD,10.30,lb,,1.0,19,Eggs,Dairy & Eggs,Overproduction,Kitchen,Compost,Third Hotel Pan (4-inch) Metal,Pre-Consumer,Student Worker,,0,
2024-11-14,10:14:25,University of California - Berkeley,Foothill,,Foothill - LC0512,US,NORAM,College/University,0.73,USD,1.14,lb,,1.0,74,Beans,Starch,Presented - Not Sold,Breakfast,Compost,Shotgun Pan (4-inch) Metal,Pre-Consumer,Unknown Operator,,0,
2024-11-14,10:13:58,University of California - Berkeley,CKC,,CKC - T41372,US,NORAM,College/University,2.57,USD,2.70,lb,,1.0,18,Rice,Starch,Overproduction,Kitchen,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,Student Worker,,0,
2024-11-14,10:13:31,University of California - Berkeley,CKC,,CKC - T41372,US,NORAM,College/University,5.77,USD,3.50,lb,,1.0,36,Tofu,Meat-Protein,Overproduction,Kitchen,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,Student Worker,,0,
2024-11-14,10:12:12,University of California - Berkeley,Foothill,,Foothill - LC0512,US,NORAM,College/University,5.51,USD,1.43,lb,,1.0,33,Pork,Meat-Protein,Presented - Not Sold,Breakfast,Compost,Shotgun Pan (4-inch) Metal,Pre-Consumer,Unknown Operator,,0,
2024-11-13,21:31:08,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,5.55,USD,5.63,lb,,1.0,19,Pasta,Starch,Presented - Not Sold,Pizza and Pasta,Donation,Shotgun Pan (4-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-13,21:29:44,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,6.88,USD,6.98,lb,,1.0,17,Pasta,Starch,Presented - Not Sold,Pizza and Pasta,Donation,Shotgun Pan (4-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-13,21:28:42,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,6.59,USD,6.69,lb,,1.0,24,Pasta,Starch,Presented - Not Sold,Pizza and Pasta,Donation,Shotgun Pan (4-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-13,21:26:42,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,6.02,USD,6.11,lb,,1.0,22,Pasta,Starch,Presented - Not Sold,Pizza and Pasta,Donation,Shotgun Pan (4-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-13,21:25:12,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,12.53,USD,12.72,lb,,1.0,23,Pasta,Starch,Presented - Not Sold,Pizza and Pasta,Donation,Half Hotel Pan (4-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-13,21:22:04,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,4.40,USD,5.79,lb,,1.0,19,Vegetables,Fruit-Vegetable,Presented - Not Sold,Big C Vegan,Donation,Half Hotel Pan (2.5-inch) Metal,Pre-Consumer,FSW,,0,
